Crimes,Alameda ,Alpine ,Amador ,Butte ,Calaveras ,Colusa ,Contra Costa ,Del Norte,El Dorado ,Fresno ,Glenn ,Humboldt ,Imperial ,Inyo ,Kern ,Kings ,Lake ,Lassen ,Los Angeles,Madera ,Marin ,Mariposa ,Mendocino ,Merced ,Modoc ,Mono ,Monterey ,Napa ,Nevada,Orange ,Placer ,Plumas ,Riverside ,Sacramento ,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin ,San Luis Obispo,San Mateo,Santa Barbara,Santa Cruz,Shasta ,Sierra ,Siskiyou ,Solano ,Sonoma ,Stanislaus ,Sutter ,Tehama ,Trinity ,Tulare ,Tuolumne ,Ventura ,Yolo ,Yuba 
Violent Crimes,9734.0,13.0,110.0,1024.0,145.0,58.0,4138.0,109.0,323.0,4737.0,91.0,626.0,589.0,94.0,5567.0,757.0,347.0,274.0,56416.0,830.0,516.0,79.0,336.0,1520.0,43.0,67.0,1433.0,753.0,238.0,6797.0,597.0,128.0,7511.0,6765.0,147.0,12219.0,11409.0,6092.0,5952.0,630.0,1837.0,1529.0,1106.0,623.0,1.0,181.0,2114.0,2016.0,2908.0,318.0,256.0,61.0,1692.0,195.0,1830.0,637.0,326.0
Homicide,96.0,0.0,1.0,7.0,1.0,0.0,54.0,2.0,5.0,55.0,2.0,6.0,7.0,1.0,84.0,4.0,5.0,0.0,508.0,3.0,1.0,0.0,3.0,12.0,0.0,0.0,15.0,1.0,3.0,57.0,7.0,1.0,118.0,78.0,1.0,147.0,86.0,40.0,50.0,5.0,10.0,17.0,6.0,6.0,0.0,6.0,21.0,9.0,25.0,4.0,3.0,2.0,20.0,2.0,24.0,6.0,7.0
Rape (Forcible Rape prior to 2014),702.0,2.0,8.0,180.0,34.0,15.0,320.0,13.0,59.0,267.0,12.0,66.0,28.0,18.0,455.0,71.0,43.0,15.0,4169.0,68.0,44.0,8.0,45.0,82.0,4.0,18.0,139.0,90.0,16.0,894.0,94.0,9.0,496.0,407.0,22.0,890.0,1106.0,330.0,301.0,95.0,322.0,211.0,137.0,63.0,0.0,13.0,264.0,277.0,170.0,32.0,46.0,10.0,194.0,68.0,232.0,87.0,41.0
Rape,668.0,2.0,8.0,124.0,34.0,14.0,299.0,12.0,56.0,231.0,11.0,66.0,25.0,18.0,429.0,69.0,41.0,15.0,3969.0,61.0,41.0,7.0,38.0,82.0,4.0,16.0,135.0,87.0,15.0,820.0,92.0,9.0,447.0,394.0,21.0,813.0,988.0,275.0,281.0,86.0,308.0,200.0,119.0,61.0,0.0,13.0,262.0,267.0,161.0,31.0,44.0,10.0,188.0,68.0,231.0,83.0,41.0
Attempted Rape,34.0,0.0,0.0,56.0,0.0,1.0,21.0,1.0,3.0,36.0,1.0,0.0,3.0,0.0,26.0,2.0,2.0,0.0,200.0,7.0,3.0,1.0,7.0,0.0,0.0,2.0,4.0,3.0,1.0,74.0,2.0,0.0,49.0,13.0,1.0,77.0,118.0,55.0,20.0,9.0,14.0,11.0,18.0,2.0,0.0,0.0,2.0,10.0,9.0,1.0,2.0,0.0,6.0,0.0,1.0,4.0,0.0
Robbery,4916.0,0.0,9.0,167.0,9.0,9.0,1519.0,26.0,55.0,918.0,16.0,149.0,80.0,9.0,1238.0,88.0,62.0,10.0,18607.0,94.0,145.0,2.0,51.0,202.0,2.0,1.0,368.0,70.0,17.0,2209.0,131.0,5.0,2149.0,2035.0,29.0,3103.0,2891.0,3173.0,1560.0,77.0,552.0,295.0,182.0,77.0,0.0,9.0,661.0,243.0,724.0,65.0,30.0,9.0,389.0,13.0,527.0,176.0,61.0
Firearm,1707.0,0.0,0.0,38.0,3.0,3.0,410.0,2.0,7.0,248.0,3.0,42.0,8.0,0.0,364.0,17.0,13.0,2.0,4443.0,15.0,19.0,1.0,10.0,40.0,0.0,0.0,115.0,9.0,6.0,442.0,16.0,1.0,568.0,476.0,4.0,945.0,427.0,368.0,396.0,13.0,79.0,63.0,25.0,5.0,0.0,2.0,176.0,47.0,182.0,12.0,5.0,1.0,105.0,3.0,116.0,35.0,13.0
Knife or Cutting Instrument,283.0,0.0,0.0,12.0,1.0,2.0,97.0,1.0,10.0,80.0,0.0,20.0,10.0,0.0,141.0,6.0,5.0,1.0,1792.0,13.0,18.0,0.0,2.0,20.0,1.0,0.0,36.0,4.0,3.0,305.0,3.0,0.0,166.0,140.0,2.0,266.0,312.0,213.0,129.0,9.0,48.0,32.0,34.0,2.0,0.0,1.0,40.0,26.0,63.0,3.0,5.0,0.0,49.0,0.0,89.0,9.0,7.0
Other Weapon,339.0,0.0,0.0,16.0,0.0,1.0,97.0,0.0,4.0,72.0,0.0,9.0,6.0,0.0,129.0,5.0,6.0,2.0,2276.0,10.0,7.0,1.0,1.0,23.0,1.0,0.0,24.0,14.0,1.0,275.0,16.0,2.0,567.0,256.0,4.0,289.0,449.0,314.0,257.0,5.0,29.0,51.0,22.0,52.0,0.0,1.0,39.0,28.0,72.0,11.0,4.0,6.0,27.0,3.0,64.0,10.0,7.0
Strong-Arm,2587.0,0.0,9.0,101.0,5.0,3.0,915.0,23.0,34.0,518.0,13.0,78.0,56.0,9.0,604.0,60.0,38.0,5.0,10096.0,56.0,101.0,0.0,38.0,119.0,0.0,1.0,193.0,43.0,7.0,1187.0,96.0,2.0,848.0,1163.0,19.0,1603.0,1703.0,2278.0,778.0,50.0,396.0,149.0,101.0,18.0,0.0,5.0,406.0,142.0,407.0,39.0,16.0,2.0,208.0,7.0,258.0,122.0,34.0
Aggravated Assault,4020.0,11.0,92.0,670.0,101.0,34.0,2245.0,68.0,204.0,3497.0,61.0,405.0,474.0,66.0,3790.0,594.0,237.0,249.0,33132.0,665.0,326.0,69.0,237.0,1224.0,37.0,48.0,911.0,592.0,202.0,3637.0,365.0,113.0,4748.0,4245.0,95.0,8079.0,7326.0,2549.0,4041.0,453.0,953.0,1006.0,781.0,477.0,1.0,153.0,1168.0,1487.0,1989.0,217.0,177.0,40.0,1089.0,112.0,1047.0,368.0,217.0
Property Crimes,66731.0,32.0,670.0,5322.0,838.0,347.0,28555.0,804.0,2559.0,23195.0,526.0,3926.0,3476.0,393.0,29604.0,2466.0,1228.0,419.0,224192.0,2693.0,5443.0,182.0,1255.0,6898.0,66.0,187.0,7735.0,2162.0,1191.0,59186.0,6138.0,314.0,57986.0,36224.0,472.0,47416.0,55233.0,50012.0,21409.0,5119.0,16272.0,7307.0,7005.0,2413.0,31.0,636.0,13161.0,6760.0,14274.0,2447.0,1623.0,237.0,10625.0,1074.0,12634.0,6644.0,1844.0
Burglary,6516.0,13.0,178.0,1111.0,297.0,109.0,3580.0,251.0,629.0,4694.0,109.0,796.0,769.0,115.0,7595.0,410.0,379.0,145.0,37987.0,682.0,1001.0,53.0,357.0,1418.0,20.0,38.0,1524.0,395.0,329.0,8529.0,992.0,116.0,10289.0,6611.0,96.0,9979.0,7694.0,4685.0,3771.0,995.0,2222.0,1269.0,1039.0,630.0,15.0,161.0,3727.0,1228.0,2628.0,398.0,436.0,83.0,2025.0,375.0,1946.0,925.0,405.0
Forcible Entry,4852.0,5.0,85.0,608.0,171.0,60.0,2379.0,235.0,408.0,3910.0,86.0,407.0,374.0,65.0,5728.0,250.0,161.0,84.0,28659.0,444.0,538.0,28.0,174.0,952.0,14.0,13.0,909.0,111.0,181.0,5909.0,607.0,64.0,7348.0,4452.0,67.0,7367.0,4369.0,2329.0,2672.0,626.0,1294.0,727.0,657.0,518.0,2.0,103.0,2505.0,402.0,1838.0,222.0,229.0,68.0,1482.0,215.0,1242.0,546.0,252.0
No Force,1664.0,8.0,93.0,503.0,126.0,49.0,1201.0,16.0,221.0,784.0,23.0,389.0,395.0,50.0,1867.0,160.0,218.0,61.0,9328.0,238.0,463.0,25.0,183.0,466.0,6.0,25.0,615.0,284.0,148.0,2620.0,385.0,52.0,2941.0,2159.0,29.0,2612.0,3325.0,2356.0,1099.0,369.0,928.0,542.0,382.0,112.0,13.0,58.0,1222.0,826.0,790.0,176.0,207.0,15.0,543.0,160.0,704.0,379.0,153.0
Motor Vehicle Theft,10267.0,4.0,37.0,868.0,69.0,56.0,4599.0,47.0,146.0,3483.0,83.0,535.0,471.0,18.0,5883.0,394.0,266.0,42.0,37429.0,416.0,420.0,5.0,162.0,1391.0,8.0,11.0,1649.0,189.0,177.0,6701.0,541.0,23.0,10248.0,5397.0,93.0,9081.0,9681.0,4284.0,3078.0,324.0,1522.0,1046.0,828.0,581.0,0.0,93.0,2065.0,566.0,2491.0,352.0,254.0,32.0,1845.0,101.0,1234.0,587.0,475.0
Automotive,9207.0,3.0,15.0,624.0,36.0,27.0,3372.0,26.0,83.0,2574.0,40.0,311.0,333.0,11.0,4192.0,194.0,155.0,26.0,23338.0,303.0,270.0,2.0,138.0,1047.0,6.0,5.0,1229.0,89.0,107.0,4873.0,377.0,17.0,6262.0,4025.0,64.0,6910.0,7601.0,3075.0,1879.0,175.0,1138.0,743.0,623.0,463.0,0.0,68.0,1353.0,376.0,1828.0,237.0,135.0,28.0,1146.0,53.0,822.0,409.0,356.0
Trucks and Buses,723.0,1.0,8.0,139.0,23.0,16.0,953.0,8.0,21.0,664.0,13.0,166.0,67.0,3.0,1223.0,148.0,62.0,4.0,11826.0,68.0,105.0,1.0,10.0,247.0,2.0,2.0,330.0,95.0,34.0,1268.0,98.0,4.0,2659.0,993.0,14.0,1597.0,1060.0,398.0,946.0,55.0,246.0,114.0,140.0,86.0,0.0,9.0,499.0,137.0,502.0,73.0,77.0,2.0,550.0,27.0,308.0,88.0,81.0
Other,337.0,0.0,14.0,105.0,10.0,13.0,274.0,13.0,42.0,245.0,30.0,58.0,71.0,4.0,468.0,52.0,49.0,12.0,2265.0,45.0,45.0,2.0,14.0,97.0,0.0,4.0,90.0,5.0,36.0,560.0,66.0,2.0,1327.0,379.0,15.0,574.0,1020.0,811.0,253.0,94.0,138.0,189.0,65.0,32.0,0.0,16.0,213.0,53.0,161.0,42.0,42.0,2.0,149.0,21.0,104.0,90.0,38.0
Larceny-Theft,49948.0,15.0,455.0,3343.0,472.0,182.0,20376.0,506.0,1784.0,15018.0,334.0,2595.0,2236.0,260.0,16126.0,1662.0,583.0,232.0,148776.0,1595.0,4022.0,124.0,736.0,4089.0,38.0,138.0,4562.0,1578.0,685.0,43956.0,4605.0,175.0,37449.0,24216.0,283.0,28356.0,37858.0,41043.0,14560.0,3800.0,12528.0,4992.0,5138.0,1202.0,16.0,382.0,7369.0,4966.0,9155.0,1697.0,933.0,122.0,6755.0,598.0,9454.0,5132.0,964.0
Pocket-Picking,1307.0,0.0,2.0,7.0,3.0,0.0,157.0,0.0,12.0,32.0,0.0,9.0,4.0,0.0,71.0,9.0,1.0,1.0,1142.0,5.0,26.0,0.0,3.0,15.0,0.0,1.0,12.0,2.0,6.0,599.0,43.0,0.0,348.0,31.0,3.0,346.0,110.0,1161.0,33.0,9.0,132.0,16.0,14.0,1.0,0.0,0.0,40.0,17.0,17.0,2.0,3.0,0.0,16.0,0.0,47.0,12.0,0.0
Purse-Snatching,474.0,0.0,1.0,11.0,1.0,0.0,76.0,2.0,14.0,22.0,0.0,10.0,31.0,2.0,85.0,7.0,9.0,3.0,538.0,13.0,25.0,0.0,4.0,19.0,0.0,1.0,14.0,4.0,11.0,115.0,40.0,0.0,108.0,66.0,3.0,117.0,180.0,34.0,39.0,22.0,60.0,20.0,9.0,2.0,0.0,6.0,34.0,12.0,16.0,0.0,0.0,0.0,15.0,0.0,6.0,9.0,4.0
Shoplifting,3852.0,1.0,12.0,307.0,25.0,8.0,3176.0,106.0,203.0,2543.0,38.0,460.0,441.0,24.0,2484.0,265.0,77.0,33.0,23095.0,181.0,334.0,17.0,238.0,705.0,4.0,26.0,768.0,247.0,120.0,8180.0,847.0,14.0,5645.0,2215.0,59.0,6344.0,5243.0,2341.0,3065.0,804.0,1736.0,701.0,727.0,161.0,1.0,122.0,1274.0,751.0,1887.0,463.0,114.0,12.0,1284.0,74.0,2639.0,684.0,93.0
Arson,381.0,0.0,15.0,75.0,0.0,5.0,208.0,18.0,4.0,274.0,3.0,71.0,104.0,0.0,843.0,27.0,16.0,1.0,2711.0,24.0,18.0,0.0,44.0,89.0,0.0,3.0,71.0,50.0,4.0,263.0,41.0,3.0,276.0,278.0,5.0,416.0,280.0,277.0,203.0,44.0,70.0,54.0,54.0,14.0,0.0,1.0,106.0,72.0,169.0,8.0,22.0,2.0,87.0,10.0,91.0,88.0,20.0
