,23,Population,Arson Rate
Modoc,0,9335,0.000%
Alpine,0,1202,0.000%
Inyo,0,18439,0.000%
Calaveras,0,44921,0.000%
Sierra,0,3019,0.000%
Mariposa,0,17946,0.000%
El Dorado,4,181465,0.002%
Siskiyou,1,44261,0.002%
Lassen,1,33356,0.003%
Nevada,4,98606,0.004%
Marin,18,256802,0.007%
Shasta,14,178520,0.008%
Sutter,8,95067,0.008%
Orange,263,3086331,0.009%
San Benito,5,56888,0.009%
San Diego,280,3183143,0.009%
San Mateo,70,739837,0.009%
Glenn,3,28019,0.011%
Ventura,91,835790,0.011%
Placer,41,361518,0.011%
Riverside,276,2266899,0.012%
Santa Barbara,54,431555,0.013%
Sonoma,72,491790,0.015%
Trinity,2,13515,0.015%
Plumas,3,19286,0.016%
Madera,24,152452,0.016%
San Luis Obispo,44,274184,0.016%
Monterey,71,424927,0.017%
Kings,27,151390,0.018%
Tuolumne,10,54347,0.018%
Sacramento,278,1450277,0.019%
Contra Costa,208,1081232,0.019%
Tulare,87,451108,0.019%
San Bernardino,416,2078586,0.020%
Santa Cruz,54,267203,0.020%
Mono,3,14193,0.021%
Colusa,5,21424,0.023%
Alameda,381,1559308,0.024%
Lake,16,64209,0.025%
Solano,106,421624,0.025%
Los Angeles,2711,9974203,0.027%
Yuba,20,73059,0.027%
Fresno,274,948844,0.029%
San Joaquin,203,701050,0.029%
Stanislaus,169,522794,0.032%
San Francisco,277,829072,0.033%
Butte,75,221578,0.034%
Merced,89,261609,0.034%
Tehama,22,63284,0.035%
Napa,50,139253,0.036%
Amador,15,37159,0.040%
Yolo,88,204162,0.043%
Mendocino,44,87612,0.050%
Humboldt,71,134876,0.053%
Imperial,104,177026,0.059%
Del Norte,18,28066,0.064%
Kern,843,857730,0.098%
