
Crimes,Alameda ,Alpine ,Amador ,Butte ,Calaveras ,Colusa ,Contra Costa ,Del Norte,El Dorado ,Fresno ,Glenn ,Humboldt ,Imperial ,Inyo ,Kern ,Kings ,Lake ,Lassen ,Los Angeles,Madera ,Marin ,Mariposa ,Mendocino ,Merced ,Modoc ,Mono ,Monterey ,Napa ,Nevada,Orange ,Placer ,Plumas ,Riverside ,Sacramento ,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin ,San Luis Obispo,San Mateo,Santa Barbara,Santa Cruz,Shasta ,Sierra ,Siskiyou ,Solano ,Sonoma ,Stanislaus ,Sutter ,Tehama ,Trinity ,Tulare ,Tuolumne ,Ventura ,Yolo ,Yuba 
Violent Crimes,"9,734",13,110,"1,024",145,58,"4,138",109,323,"4,737",91,626,589,94,"5,567",757,347,274,"56,416",830,516,79,336,"1,520",43,67,"1,433",753,238,"6,797",597,128,"7,511","6,765",147,"12,219","11,409","6,092","5,952",630,"1,837","1,529","1,106",623,1,181,"2,114","2,016","2,908",318,256,61,"1,692",195,"1,830",637,326
Homicide,96,0,1,7,1,0,54,2,5,55,2,6,7,1,84,4,5,0,508,3,1,0,3,12,0,0,15,1,3,57,7,1,118,78,1,147,86,40,50,5,10,17,6,6,0,6,21,9,25,4,3,2,20,2,24,6,7
Rape (Forcible Rape prior to 2014),702,2,8,180,34,15,320,13,59,267,12,66,28,18,455,71,43,15,"4,169",68,44,8,45,82,4,18,139,90,16,894,94,9,496,407,22,890,"1,106",330,301,95,322,211,137,63,0,13,264,277,170,32,46,10,194,68,232,87,41
Rape,668,2,8,124,34,14,299,12,56,231,11,66,25,18,429,69,41,15,"3,969",61,41,7,38,82,4,16,135,87,15,820,92,9,447,394,21,813,988,275,281,86,308,200,119,61,0,13,262,267,161,31,44,10,188,68,231,83,41
Attempted Rape,34,0,0,56,0,1,21,1,3,36,1,0,3,0,26,2,2,0,200,7,3,1,7,0,0,2,4,3,1,74,2,0,49,13,1,77,118,55,20,9,14,11,18,2,0,0,2,10,9,1,2,0,6,0,1,4,0
Robbery,"4,916",0,9,167,9,9,"1,519",26,55,918,16,149,80,9,"1,238",88,62,10,"18,607",94,145,2,51,202,2,1,368,70,17,"2,209",131,5,"2,149","2,035",29,"3,103","2,891","3,173","1,560",77,552,295,182,77,0,9,661,243,724,65,30,9,389,13,527,176,61
Weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firearm,"1,707",0,0,38,3,3,410,2,7,248,3,42,8,0,364,17,13,2,"4,443",15,19,1,10,40,0,0,115,9,6,442,16,1,568,476,4,945,427,368,396,13,79,63,25,5,0,2,176,47,182,12,5,1,105,3,116,35,13
Knife or Cutting Instrument,283,0,0,12,1,2,97,1,10,80,0,20,10,0,141,6,5,1,"1,792",13,18,0,2,20,1,0,36,4,3,305,3,0,166,140,2,266,312,213,129,9,48,32,34,2,0,1,40,26,63,3,5,0,49,0,89,9,7
Other Weapon,339,0,0,16,0,1,97,0,4,72,0,9,6,0,129,5,6,2,"2,276",10,7,1,1,23,1,0,24,14,1,275,16,2,567,256,4,289,449,314,257,5,29,51,22,52,0,1,39,28,72,11,4,6,27,3,64,10,7
Strong-Arm,"2,587",0,9,101,5,3,915,23,34,518,13,78,56,9,604,60,38,5,"10,096",56,101,0,38,119,0,1,193,43,7,"1,187",96,2,848,"1,163",19,"1,603","1,703","2,278",778,50,396,149,101,18,0,5,406,142,407,39,16,2,208,7,258,122,34
Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway,"2,587",0,0,61,1,1,400,2,5,369,3,38,23,2,327,19,20,0,"8,808",5,51,1,18,71,0,0,187,19,1,747,13,1,543,694,7,858,"1,281",691,89,18,162,98,22,15,0,1,195,62,198,22,4,0,121,3,141,61,7
Commercial,474,0,0,6,1,0,348,2,7,151,0,24,6,1,248,18,7,0,"4,282",18,37,0,8,41,0,0,62,20,1,432,34,1,387,529,1,766,770,124,377,10,156,36,7,10,0,3,145,61,131,13,2,0,46,3,109,22,7
Gas Station,77,0,0,6,3,2,34,1,4,24,3,11,2,0,49,3,1,2,325,6,4,0,3,7,0,0,11,2,2,79,6,0,108,57,2,129,81,4,38,3,10,11,4,1,0,1,31,8,41,3,0,0,11,1,27,10,3
Convenience Store,232,0,0,11,0,0,164,0,9,64,1,2,3,0,138,1,2,1,814,4,5,1,5,16,0,0,37,6,1,190,19,0,191,80,5,241,194,182,142,11,29,19,19,2,0,0,29,7,67,8,0,0,39,0,47,11,7
Residence,294,0,6,22,2,4,179,1,8,157,1,38,12,4,141,25,19,2,"1,098",11,10,0,9,28,1,1,20,8,6,164,12,3,250,268,2,361,220,41,186,10,44,46,21,2,0,2,80,27,105,6,8,0,51,1,40,27,18
Bank,44,0,0,2,0,1,19,0,2,10,1,1,0,0,5,0,0,0,102,4,3,0,0,1,0,0,0,1,0,19,1,0,29,30,1,21,51,18,13,4,5,2,2,1,0,0,9,6,7,2,0,0,3,0,1,3,0
Miscellaneous,"1,208",0,3,59,2,1,375,20,20,143,7,35,34,2,330,22,13,5,"3,178",46,35,0,8,38,1,0,51,14,6,578,46,0,641,377,11,727,294,"2,113",715,21,146,83,107,46,0,2,172,72,175,11,16,9,118,5,162,42,19
