
County,Population
Alameda,1559308
Alpine,1202
Amador,37159
Butte,221578
Calaveras,44921
Colusa,21424
Contra Costa,1081232
Del Norte,28066
El Dorado,181465
Fresno,948844
Glenn,28019
Humboldt,134876
Imperial,177026
Inyo,18439
Kern,857730
Kings,151390
Lake,64209
Lassen,33356
Los Angeles,9974203
Madera,152452
Marin,256802
Mariposa,17946
Mendocino,87612
Merced,261609
Modoc,9335
Mono,14193
Monterey,424927
Napa,139253
Nevada,98606
Orange,3086331
Placer,361518
Plumas,19286
Riverside,2266899
Sacramento,1450277
San Benito,56888
San Bernardino,2078586
San Diego,3183143
San Francisco,829072
San Joaquin,701050
San Luis Obispo,274184
San Mateo,739837
Santa Barbara,431555
Santa Clara,1841569
Santa Cruz,267203
Shasta,178520
Sierra,3019
Siskiyou,44261
Solano,421624
Sonoma,491790
Stanislaus,522794
Sutter,95067
Tehama,63284
Trinity,13515
Tulare,451108
Tuolumne,54347
Ventura,835790
Yolo,204162
Yuba,73059
