Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba,
Crimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Violent Crimes,9734,13,110,1024,145,58,4138,109,323,4737,91,626,589,94,5567,757,347,274,56416,830,516,79,336,1520,43,67,1433,753,238,6797,597,128,7511,6765,147,12219,11409,6092,5952,630,1837,1529,1106,623,1,181,2114,2016,2908,318,256,61,1692,195,1830,637,326
Homicide,96,0,1,7,1,0,54,2,5,55,2,6,7,1,84,4,5,0,508,3,1,0,3,12,0,0,15,1,3,57,7,1,118,78,1,147,86,40,50,5,10,17,6,6,0,6,21,9,25,4,3,2,20,2,24,6,7
Rape (Forcible Rape prior to 2014),702,2,8,180,34,15,320,13,59,267,12,66,28,18,455,71,43,15,4169,68,44,8,45,82,4,18,139,90,16,894,94,9,496,407,22,890,1106,330,301,95,322,211,137,63,0,13,264,277,170,32,46,10,194,68,232,87,41
Rape,668,2,8,124,34,14,299,12,56,231,11,66,25,18,429,69,41,15,3969,61,41,7,38,82,4,16,135,87,15,820,92,9,447,394,21,813,988,275,281,86,308,200,119,61,0,13,262,267,161,31,44,10,188,68,231,83,41
Attempted Rape,34,0,0,56,0,1,21,1,3,36,1,0,3,0,26,2,2,0,200,7,3,1,7,0,0,2,4,3,1,74,2,0,49,13,1,77,118,55,20,9,14,11,18,2,0,0,2,10,9,1,2,0,6,0,1,4,0
Robbery,4916,0,9,167,9,9,1519,26,55,918,16,149,80,9,1238,88,62,10,18607,94,145,2,51,202,2,1,368,70,17,2209,131,5,2149,2035,29,3103,2891,3173,1560,77,552,295,182,77,0,9,661,243,724,65,30,9,389,13,527,176,61
Firearm,1707,0,0,38,3,3,410,2,7,248,3,42,8,0,364,17,13,2,4443,15,19,1,10,40,0,0,115,9,6,442,16,1,568,476,4,945,427,368,396,13,79,63,25,5,0,2,176,47,182,12,5,1,105,3,116,35,13
Knife or Cutting Instrument,283,0,0,12,1,2,97,1,10,80,0,20,10,0,141,6,5,1,1792,13,18,0,2,20,1,0,36,4,3,305,3,0,166,140,2,266,312,213,129,9,48,32,34,2,0,1,40,26,63,3,5,0,49,0,89,9,7
Other Weapon,339,0,0,16,0,1,97,0,4,72,0,9,6,0,129,5,6,2,2276,10,7,1,1,23,1,0,24,14,1,275,16,2,567,256,4,289,449,314,257,5,29,51,22,52,0,1,39,28,72,11,4,6,27,3,64,10,7
