RegionID,SizeRank,RegionName,RegionType,StateName,State,StateCodeFIPS,MunicipalCodeFIPS,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,Home Type
3101,0,Los Angeles County,County,CA,CA,6,37,720614.0,717257.0,714336.0,713429.0,717638.0,723502.0,724759.0,724660.0,724521.0,726980.0,728185.0,731134.0,4 bedroom
2841,4,San Diego County,County,CA,CA,6,73,691293.0,688656.0,687201.0,690763.0,694178.0,699356.0,703425.0,705471.0,705167.0,704542.0,706376.0,709632.0,4 bedroom
1286,5,Orange County,County,CA,CA,6,59,857132.0,854483.0,852214.0,851562.0,854925.0,858381.0,862780.0,863222.0,866313.0,866792.0,867643.0,867894.0,4 bedroom
2832,10,Riverside County,County,CA,CA,6,65,443718.0,444634.0,446654.0,447262.0,447404.0,448071.0,449220.0,449980.0,449541.0,450925.0,451727.0,454675.0,4 bedroom
3250,11,San Bernardino County,County,CA,CA,6,71,439017.0,439406.0,439937.0,440389.0,443087.0,445272.0,446290.0,446216.0,446304.0,447626.0,449260.0,451010.0,4 bedroom
3136,16,Santa Clara County,County,CA,CA,6,85,1308050.0,1284495.0,1266364.0,1264120.0,1263112.0,1259308.0,1250980.0,1244234.0,1248685.0,1250944.0,1257604.0,1264876.0,4 bedroom
1510,21,Alameda County,County,CA,CA,6,1,1101807.0,1094632.0,1091639.0,1094076.0,1097808.0,1103800.0,1105133.0,1100654.0,1096701.0,1093902.0,1091387.0,1094689.0,4 bedroom
3017,24,Sacramento County,County,CA,CA,6,67,423173.0,422688.0,422230.0,424109.0,427600.0,431580.0,433433.0,434151.0,435431.0,436681.0,438828.0,440101.0,4 bedroom
3159,36,Contra Costa County,County,CA,CA,6,13,685071.0,683972.0,683031.0,681766.0,684833.0,687019.0,687174.0,684359.0,679896.0,678932.0,679842.0,683502.0,4 bedroom
1018,45,Fresno County,County,CA,CA,6,19,341620.0,342255.0,343231.0,343547.0,343569.0,345136.0,346257.0,347329.0,346783.0,347804.0,348396.0,349518.0,4 bedroom
204,61,Kern County,County,CA,CA,6,29,281605.0,283179.0,283724.0,283413.0,284386.0,286239.0,287351.0,288169.0,288506.0,289182.0,290332.0,291396.0,4 bedroom
2061,62,Ventura County,County,CA,CA,6,111,690356.0,689359.0,690037.0,693423.0,695336.0,696369.0,696143.0,696430.0,696075.0,697100.0,697603.0,700527.0,4 bedroom
3227,65,San Francisco County,County,CA,CA,6,75,1953368.0,1955654.0,1956668.0,1949818.0,1960543.0,1970188.0,1975170.0,1962165.0,1955532.0,1967203.0,1986157.0,2012534.0,4 bedroom
2842,81,San Mateo County,County,CA,CA,6,81,1890013.0,1876509.0,1860103.0,1861298.0,1873290.0,1882886.0,1885514.0,1867587.0,1870957.0,1866647.0,1872426.0,1877187.0,4 bedroom
3134,86,San Joaquin County,County,CA,CA,6,77,451483.0,449460.0,451884.0,451684.0,453772.0,455758.0,457107.0,458091.0,456454.0,455843.0,455973.0,458467.0,4 bedroom
3033,124,Stanislaus County,County,CA,CA,6,99,380811.0,381414.0,381309.0,383988.0,383962.0,385477.0,384533.0,385637.0,385384.0,387721.0,389961.0,391865.0,4 bedroom
1396,136,Sonoma County,County,CA,CA,6,97,712051.0,701323.0,695759.0,694924.0,700539.0,707619.0,711974.0,712902.0,709345.0,708322.0,705883.0,705785.0,4 bedroom
