County,State,Home Type,Avg house price
Los Angeles,CA,4 bedroom,722251.25
San Diego,CA,4 bedroom,698838.33
Orange,CA,4 bedroom,860278.42
Riverside,CA,4 bedroom,448650.92
San Bernardino,CA,4 bedroom,444484.5
Santa Clara,CA,4 bedroom,1263564.33
Alameda,CA,4 bedroom,1097185.67
Sacramento,CA,4 bedroom,430833.75
Contra Costa,CA,4 bedroom,683283.08
Fresno,CA,4 bedroom,345453.75
Kern,CA,4 bedroom,286456.83
Ventura,CA,4 bedroom,694896.5
San Francisco,CA,4 bedroom,1967083.33
San Mateo,CA,4 bedroom,1873701.42
San Joaquin,CA,4 bedroom,454664.67
Stanislaus,CA,4 bedroom,385171.83
Sonoma,CA,4 bedroom,705535.5
Tulare,CA,4 bedroom,294634.58
Santa Barbara,CA,4 bedroom,736496.67
Monterey,CA,4 bedroom,619206.33
Solano,CA,4 bedroom,510837.83
Placer,CA,4 bedroom,568564.75
San Luis Obispo,CA,4 bedroom,748222.5
Santa Cruz,CA,4 bedroom,1136656.08
Merced,CA,4 bedroom,325235.17
Marin,CA,4 bedroom,1449320.42
Butte,CA,4 bedroom,469425.0
Yolo,CA,4 bedroom,544286.5
El Dorado,CA,4 bedroom,627778.5
Shasta,CA,4 bedroom,381710.17
Imperial,CA,4 bedroom,220204.58
Kings,CA,4 bedroom,280814.67
Madera,CA,4 bedroom,320014.75
Napa,CA,4 bedroom,792641.08
Humboldt,CA,4 bedroom,420122.42
Nevada,CA,4 bedroom,693709.83
Sutter,CA,4 bedroom,384866.92
Mendocino,CA,4 bedroom,618978.25
Yuba,CA,4 bedroom,331099.67
Lake,CA,4 bedroom,381085.0
Tehama,CA,4 bedroom,310872.17
Tuolumne,CA,4 bedroom,397693.75
San Benito,CA,4 bedroom,699097.08
Calaveras,CA,4 bedroom,452248.17
Siskiyou,CA,4 bedroom,290211.17
Amador,CA,4 bedroom,467401.58
Lassen,CA,4 bedroom,259788.08
Del Norte,CA,4 bedroom,338032.42
Glenn,CA,4 bedroom,296069.75
Colusa,CA,4 bedroom,323527.92
Plumas,CA,4 bedroom,390024.42
Inyo,CA,4 bedroom,454707.92
Mariposa,CA,4 bedroom,416220.0
Mono,CA,4 bedroom,850250.58
Trinity,CA,4 bedroom,339048.42
Modoc,CA,4 bedroom,193472.92
Sierra,CA,4 bedroom,309974.42
Alpine,CA,4 bedroom,599887.75
Los Angeles,CA,single family,647795.17
San Diego,CA,single family,618455.67
Orange,CA,single family,782885.58
Riverside,CA,single family,402500.33
San Bernardino,CA,single family,356285.5
Santa Clara,CA,single family,1167440.5
Alameda,CA,single family,893874.92
Sacramento,CA,single family,381033.33
Contra Costa,CA,single family,630835.42
Fresno,CA,single family,269382.17
Kern,CA,single family,227926.25
Ventura,CA,single family,627233.5
San Francisco,CA,single family,1480200.17
San Mateo,CA,single family,1458696.58
San Joaquin,CA,single family,382449.33
Stanislaus,CA,single family,328788.25
Sonoma,CA,single family,648841.75
Tulare,CA,single family,224948.83
Santa Barbara,CA,single family,683220.0
Monterey,CA,single family,607932.58
Solano,CA,single family,460861.58
Placer,CA,single family,517371.67
San Luis Obispo,CA,single family,633264.25
Santa Cruz,CA,single family,867712.58
Merced,CA,single family,283201.75
Marin,CA,single family,1271696.42
Butte,CA,single family,327062.17
Yolo,CA,single family,461428.5
El Dorado,CA,single family,476654.17
Shasta,CA,single family,277339.5
Imperial,CA,single family,170145.92
Kings,CA,single family,230687.17
Madera,CA,single family,273915.92
Napa,CA,single family,722529.25
Humboldt,CA,single family,332190.17
Nevada,CA,single family,481453.42
Sutter,CA,single family,329153.0
