1,Population,Homicide Rate
0,14193,0.0
0,17946,0.0
0,9335,0.0
0,33356,0.0
0,21424,0.0
0,3019,0.0
0,1202,0.0
1,256802,3.89405066938731e-06
1,139253,7.181173834675016e-06
10,739837,1.3516490794593945e-05
1,56888,1.7578399662494726e-05
5,274184,1.823592915706241e-05
9,491790,1.830049411334106e-05
57,3086331,1.846853108107977e-05
7,361518,1.9362797979630336e-05
3,152452,1.9678324980977618e-05
1,44921,2.2261303176687964e-05
6,267203,2.2454837707660467e-05
4,151390,2.6421824426976682e-05
1,37159,2.6911380822950025e-05
86,3183143,2.701732218753603e-05
5,181465,2.755352271787948e-05
24,835790,2.8715347156582397e-05
6,204162,2.9388426837511388e-05
3,98606,3.0424112122994542e-05
7,221578,3.159158400202186e-05
6,178520,3.3609679587721265e-05
3,87612,3.424188467333242e-05
15,424927,3.530018097226112e-05
2,54347,3.6800559368502405e-05
17,431555,3.9392429701891993e-05
7,177026,3.9542214138036223e-05
4,95067,4.2075588795270704e-05
20,451108,4.433528113001764e-05
6,134876,4.448530502090809e-05
12,261609,4.5869981537332434e-05
3,63284,4.7405347323178055e-05
25,522794,4.781998263178231e-05
40,829072,4.8246714398749445e-05
21,421624,4.980741134280781e-05
54,1081232,4.9943027953297716e-05
508,9974203,5.093138770085189e-05
1,19286,5.185108368764907e-05
118,2266899,5.205348804688696e-05
78,1450277,5.378282907334254e-05
1,18439,5.423287596941266e-05
55,948844,5.7965271425018235e-05
96,1559308,6.15657714832477e-05
147,2078586,7.072115370737607e-05
2,28066,7.126060001425212e-05
50,701050,7.132158904500393e-05
2,28019,7.138013490845498e-05
5,64209,7.787070348393527e-05
7,73059,9.581297307655457e-05
84,857730,9.79329159525725e-05
6,44261,0.00013555952192675268
2,13515,0.00014798372179060303
