,11,Population,Property Crime Rate
Modoc,66,9335,0.007070166041778254
San Benito,472,56888,0.00829700464069751
Mariposa,182,17946,0.010141535718265909
Sierra,31,3019,0.010268300761841669
Nevada,1191,98606,0.012078372512828834
Lassen,419,33356,0.012561458208418275
Mono,187,14193,0.013175509053758895
Shasta,2413,178520,0.013516692807528569
Sonoma,6760,491790,0.013745704467353952
El Dorado,2559,181465,0.014101892927010718
Mendocino,1255,87612,0.014324521755010729
Siskiyou,636,44261,0.014369309324235783
Ventura,12634,835790,0.015116237332344249
Napa,2162,139253,0.015525697830567384
Colusa,347,21424,0.016196788648244958
Plumas,314,19286,0.01628124027792181
Kings,2466,151390,0.016289054759231127
Santa Barbara,7307,431555,0.01693179316657205
Placer,6138,361518,0.016978407714138714
San Diego,55233,3183143,0.017351718097490438
Trinity,237,13515,0.01753607103218646
Madera,2693,152452,0.017664576391257576
Amador,670,37159,0.018030625151376517
Monterey,7735,424927,0.01820312665469598
Calaveras,838,44921,0.018654972062064512
San Luis Obispo,5119,274184,0.018669944271000497
Glenn,526,28019,0.01877297548092366
Lake,1228,64209,0.019125044775654503
Orange,59186,3086331,0.01917681544850504
Imperial,3476,177026,0.019635533763401988
Tuolumne,1074,54347,0.01976190038088579
Marin,5443,256802,0.021195317793475128
Inyo,393,18439,0.021313520255979174
San Mateo,16272,739837,0.021994033820963266
Los Angeles,224192,9974203,0.022477184392577534
San Bernardino,47416,2078586,0.022811661389040436
Tulare,10625,451108,0.023553118100321874
Butte,5322,221578,0.024018630008394336
Fresno,23195,948844,0.02444553583096905
Sacramento,36224,1450277,0.02497729744042
Yuba,1844,73059,0.025239874621880945
Riverside,57986,2266899,0.02557943693124396
Tehama,1623,63284,0.025646292901839327
Sutter,2447,95067,0.025739741445506854
Santa Cruz,7005,267203,0.026216023023693597
Merced,6898,261609,0.02636759438704326
Contra Costa,28555,1081232,0.02640968820752623
Alpine,32,1202,0.026622296173044926
Stanislaus,14274,522794,0.027303297283442426
Del Norte,804,28066,0.028646761205729353
Humboldt,3926,134876,0.029108217918680863
San Joaquin,21409,701050,0.03053847799728978
Solano,13161,421624,0.03121501622298541
Yolo,6644,204162,0.032542784651404276
Kern,29604,857730,0.034514357664999475
Alameda,66731,1559308,0.04279526559217294
San Francisco,50012,829072,0.06032286701275643
