,0,Population,Violent Crime Rate
Sierra,1,3019,0.0003312355084465055
Placer,597,361518,0.0016513700562627587
El Dorado,323,181465,0.0017799575675750145
Marin,516,256802,0.002009330145403852
Ventura,1830,835790,0.0021895452206894075
Orange,6797,3086331,0.002202291329089459
San Luis Obispo,630,274184,0.002297727073789864
Nevada,238,98606,0.0024136462284242337
San Mateo,1837,739837,0.0024829793589669076
San Benito,147,56888,0.002584024750386725
Colusa,58,21424,0.002707244212098581
Amador,110,37159,0.0029602518905245028
Yolo,637,204162,0.0031200713159157925
Calaveras,145,44921,0.0032278889606197547
Glenn,91,28019,0.0032477961383347016
Riverside,7511,2266899,0.003313336853560745
Imperial,589,177026,0.003327194875329048
Sutter,318,95067,0.003345009309224021
Monterey,1433,424927,0.0033723439555500122
Shasta,623,178520,0.003489805063858391
Santa Barbara,1529,431555,0.0035430014714231094
San Diego,11409,3183143,0.0035841933585767276
Tuolumne,195,54347,0.003588054538428984
Tulare,1692,451108,0.0037507647835994928
Contra Costa,4138,1081232,0.0038271157346434436
Mendocino,336,87612,0.003835091083413231
Del Norte,109,28066,0.0038837027007767406
Tehama,256,63284,0.004045256304911194
Siskiyou,181,44261,0.004089378911457039
Sonoma,2016,491790,0.004099310681388397
Santa Cruz,1106,267203,0.004139175084112079
Mariposa,79,17946,0.004402095174412125
Yuba,326,73059,0.004462147031850969
Trinity,61,13515,0.004513503514613392
Modoc,43,9335,0.004606320299946438
Butte,1024,221578,0.004621397431152912
Humboldt,626,134876,0.004641300157181411
Sacramento,6765,1450277,0.004664626136937978
Mono,67,14193,0.004720636933699711
Fresno,4737,948844,0.004992390740732934
Kings,757,151390,0.005000330272805337
Solano,2114,421624,0.005013946075175986
Inyo,94,18439,0.00509789034112479
Lake,347,64209,0.005404226821785108
Napa,753,139253,0.005407423897510287
Madera,830,152452,0.0054443365780704744
Stanislaus,2908,522794,0.005562420379728918
Los Angeles,56416,9974203,0.0056561912766363385
Merced,1520,261609,0.0058101976613954415
San Bernardino,12219,2078586,0.005878515490819239
Alameda,9734,1559308,0.006242512704353469
Kern,5567,857730,0.006490387417952036
Plumas,128,19286,0.006636938712019081
San Francisco,6092,829072,0.007347974602929541
Lassen,274,33356,0.008214414198345125
San Joaquin,5952,701050,0.008490121959917267
Alpine,13,1202,0.010815307820299502
