,1,Population,Homicide Rate
Mono,0,14193,0.00000%
Mariposa,0,17946,0.00000%
Modoc,0,9335,0.00000%
Lassen,0,33356,0.00000%
Colusa,0,21424,0.00000%
Sierra,0,3019,0.00000%
Alpine,0,1202,0.00000%
Marin,1,256802,0.00039%
Napa,1,139253,0.00072%
San Mateo,10,739837,0.00135%
San Benito,1,56888,0.00176%
San Luis Obispo,5,274184,0.00182%
Sonoma,9,491790,0.00183%
Orange,57,3086331,0.00185%
Placer,7,361518,0.00194%
Madera,3,152452,0.00197%
Calaveras,1,44921,0.00223%
Santa Cruz,6,267203,0.00225%
Kings,4,151390,0.00264%
Amador,1,37159,0.00269%
San Diego,86,3183143,0.00270%
El Dorado,5,181465,0.00276%
Ventura,24,835790,0.00287%
Yolo,6,204162,0.00294%
Nevada,3,98606,0.00304%
Butte,7,221578,0.00316%
Shasta,6,178520,0.00336%
Mendocino,3,87612,0.00342%
Monterey,15,424927,0.00353%
Tuolumne,2,54347,0.00368%
Santa Barbara,17,431555,0.00394%
Imperial,7,177026,0.00395%
Sutter,4,95067,0.00421%
Tulare,20,451108,0.00443%
Humboldt,6,134876,0.00445%
Merced,12,261609,0.00459%
Tehama,3,63284,0.00474%
Stanislaus,25,522794,0.00478%
San Francisco,40,829072,0.00482%
Solano,21,421624,0.00498%
Contra Costa,54,1081232,0.00499%
Los Angeles,508,9974203,0.00509%
Plumas,1,19286,0.00519%
Riverside,118,2266899,0.00521%
Sacramento,78,1450277,0.00538%
Inyo,1,18439,0.00542%
Fresno,55,948844,0.00580%
Alameda,96,1559308,0.00616%
San Bernardino,147,2078586,0.00707%
Del Norte,2,28066,0.00713%
San Joaquin,50,701050,0.00713%
Glenn,2,28019,0.00714%
Lake,5,64209,0.00779%
Yuba,7,73059,0.00958%
Kern,84,857730,0.00979%
Siskiyou,6,44261,0.01356%
Trinity,2,13515,0.01480%
