,0,Population,Violent Crime Rate
Sierra,1,3019,0.03%
Placer,597,361518,0.17%
El Dorado,323,181465,0.18%
Marin,516,256802,0.20%
Ventura,1830,835790,0.22%
Orange,6797,3086331,0.22%
San Luis Obispo,630,274184,0.23%
Nevada,238,98606,0.24%
San Mateo,1837,739837,0.25%
San Benito,147,56888,0.26%
Colusa,58,21424,0.27%
Amador,110,37159,0.30%
Yolo,637,204162,0.31%
Calaveras,145,44921,0.32%
Glenn,91,28019,0.32%
Riverside,7511,2266899,0.33%
Imperial,589,177026,0.33%
Sutter,318,95067,0.33%
Monterey,1433,424927,0.34%
Shasta,623,178520,0.35%
Santa Barbara,1529,431555,0.35%
San Diego,11409,3183143,0.36%
Tuolumne,195,54347,0.36%
Tulare,1692,451108,0.38%
Contra Costa,4138,1081232,0.38%
Mendocino,336,87612,0.38%
Del Norte,109,28066,0.39%
Tehama,256,63284,0.40%
Siskiyou,181,44261,0.41%
Sonoma,2016,491790,0.41%
Santa Cruz,1106,267203,0.41%
Mariposa,79,17946,0.44%
Yuba,326,73059,0.45%
Trinity,61,13515,0.45%
Modoc,43,9335,0.46%
Butte,1024,221578,0.46%
Humboldt,626,134876,0.46%
Sacramento,6765,1450277,0.47%
Mono,67,14193,0.47%
Fresno,4737,948844,0.50%
Kings,757,151390,0.50%
Solano,2114,421624,0.50%
Inyo,94,18439,0.51%
Lake,347,64209,0.54%
Napa,753,139253,0.54%
Madera,830,152452,0.54%
Stanislaus,2908,522794,0.56%
Los Angeles,56416,9974203,0.57%
Merced,1520,261609,0.58%
San Bernardino,12219,2078586,0.59%
Alameda,9734,1559308,0.62%
Kern,5567,857730,0.65%
Plumas,128,19286,0.66%
San Francisco,6092,829072,0.73%
Lassen,274,33356,0.82%
San Joaquin,5952,701050,0.85%
Alpine,13,1202,1.08%
